date,value,series_id,indicator_name,unit,geography,geo_level,source
2010-07-01,11546.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2010-07-01,19976.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2010-07-01,16828.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2010-08-01,716.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2010-08-01,2701.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2010-08-01,16888.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2010-08-01,7674.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2010-08-01,20012.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2010-08-01,11538.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2010-08-01,5524.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2010-08-01,24537.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2010-08-01,130415.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2010-09-01,130341.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2010-09-01,2697.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2010-09-01,7681.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2010-09-01,20005.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2010-09-01,11549.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2010-09-01,16906.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2010-09-01,722.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2010-09-01,5501.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2010-09-01,24564.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2010-10-01,732.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2010-10-01,7682.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2010-10-01,16975.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2010-10-01,130620.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
